SHOTS TIMES IMP TDIV TDIV_ERR NDIV NDIV_ERR QPAR QPAR_ERR PSEP PSEP_ERR PDIV PDIV_ERR TSEP NSEP NSEP_ERR FM FM_ERR CNE CNE_ERR CN CN_ERR CAR CAR_ERR CNEF CNEF_ERR CNF CNF_ERR CARF CARF_ERR SHUNT SHUNT_ERR SHUNT1 SHUNT1_ERR LINT PSEPRT PSEPRT_ERR HFAC HFAC_ERR
39490 4.30000 2.00000 11.0841 2.70666 4.83835e+19 2.59335e+19 1.61023e+07 5.86250e+06 4.91422 0.354867 0.717154 0.0249742 98.3984 2.39048e+19 7.17145e+18 0.455989 0.301410 0.00000 0.00000 0.00000 0.00000 0.00196451 0.000455160 0.00000 0.00000 0.00000 0.00000 0.00445765 0.00217941 11.9895 3.44246 12.8313 2.16640 4.08683 6.22807 0.622807 0.969979 0.0311134
38775 5.50000 2.00000 8.20703 4.11318 7.82149e+19 2.26959e+19 2.14008e+07 1.44946e+07 6.15420 0.446487 0.944298 0.0148154 107.626 2.60333e+19 7.81000e+18 0.458206 0.298847 0.00000 0.00000 0.00000 0.00000 0.00361845 0.000993191 0.00000 0.00000 0.00000 0.00000 0.00275649 0.00130146 3.69323 2.17874 5.76887 1.95852 3.96293 8.41034 0.841034 0.843322 0.0276583
39497 5.70000 2.00000 3.44673 0.847575 4.63031e+19 1.26330e+19 8.13898e+06 2.97426e+06 6.99953 0.199897 1.96877 0.0129601 112.643 3.26924e+19 9.80772e+18 0.0866752 0.0411052 0.00000 0.00000 0.00000 0.00000 0.00187301 0.000522167 0.00000 0.00000 0.00000 0.00000 0.00144676 0.000546781 4.95359 2.09425 6.10148 2.58662 3.89134 5.35435 0.535435 0.890541 0.0315860
39498 6.20000 2.00000 3.87567 1.51760 4.91988e+19 9.95154e+18 1.19276e+07 6.38698e+06 6.17775 0.244615 2.02011 0.0189553 107.380 3.29543e+19 9.88629e+18 0.107770 0.0574567 0.00000 0.00000 0.00000 0.00000 0.00162003 0.000451869 0.00000 0.00000 0.00000 0.00000 0.00183383 0.000427853 5.15513 2.08487 5.63067 1.91367 3.95565 5.10998 0.510998 0.906102 0.0352731
39046 5.70000 2.00000 4.01528 0.619494 5.84331e+19 1.60502e+19 5.97660e+06 3.43451e+06 7.07305 0.398502 1.65558 0.0144727 113.280 3.09828e+19 9.29484e+18 0.133700 0.0581634 0.00000 0.00000 0.00000 0.00000 0.00443755 0.00123432 0.00000 0.00000 0.00000 0.00000 0.00245970 0.000401865 2.18094 2.17359 1.94487 1.07371 3.88549 7.66126 0.766126 0.804835 0.0283142
37493 6.50000 2.00000 2.41444 0.133892 1.64381e+19 1.59928e+18 1.24750e+06 189405. 6.59299 0.734003 0.824712 0.0207339 113.265 2.49632e+19 7.48895e+18 0.0280739 0.00898981 0.00000 0.00000 0.00000 0.00000 0.0211502 0.00584159 0.00000 0.00000 0.00000 0.00000 0.0224026 0.00141882 -4.40047 0.278150 -3.36858 -0.336858 4.01101 11.2227 1.12227 0.656989 0.00278094
37493 4.60000 2.00000 9.08021 1.60240 7.33506e+19 2.53531e+19 2.23283e+07 7.11639e+06 8.67350 0.179676 1.01179 0.0308712 124.293 2.65965e+19 7.97894e+18 0.402957 0.197659 0.00000 0.00000 0.00000 0.00000 0.00261721 0.000727898 0.00000 0.00000 0.00000 0.00000 0.00444455 0.00187045 7.83753 4.22046 28.3063 2.83063 3.85374 10.8192 1.08192 0.948992 0.0437558
41033 7.70000 2.00000 1.66704 0.622699 3.29592e+19 9.43571e+18 3.89542e+06 6.48121e+06 5.32547 0.901981 2.01180 0.0990216 106.334 3.29122e+19 9.87367e+18 0.0313995 0.0175244 0.00000 0.00000 0.00000 0.00000 0.00262983 0.000725189 0.00000 0.00000 0.00000 0.00000 0.00241382 1.38641e-05 -5.55412 0.799407 -6.53230 1.63631 4.08506 7.59923 0.759923 0.792769 0.0630114
39519 5.70000 2.00000 4.38211 2.28086 4.14005e+19 9.33895e+18 1.87178e+07 1.74736e+07 6.21502 0.491269 1.95566 0.0133480 107.786 3.26247e+19 9.78742e+18 0.103183 0.0662141 0.00000 0.00000 0.00000 0.00000 0.00170991 0.000476136 0.00000 0.00000 0.00000 0.00000 0.00136664 0.000402057 4.87307 2.23711 5.10349 2.43721 3.95673 5.37457 0.537457 0.890770 0.0317719
38320 5.00000 2.00000 4.44020 1.23529 3.56512e+19 1.73513e+19 5.72978e+06 5.07049e+06 9.27005 0.544664 0.922205 0.0175085 126.431 2.58430e+19 7.75289e+18 0.0968972 0.0616097 0.00000 0.00000 0.00000 0.00000 0.0124052 0.00343022 0.00000 0.00000 0.00000 0.00000 0.00630827 0.000997774 -0.660906 1.68916 -0.799792 1.25499 3.79776 8.47459 0.847459 0.973508 0.0248391
